Labelling well,Plate ID,EdGen ID,User_ID,Input Well,HYB Well,Filename
A01,11614MMPlate01,11614MM0001,20190129.CDR01,A01,A05,Titan_0180_11614MM_A05
B01,11614MMPlate01,11614MM0002,20190129.CDR02,A02,B05,Titan_0180_11614MM_B05
C01,11614MMPlate01,11614MM0003,20190129.CDR03,A03,C05,Titan_0180_11614MM_C05
D01,11614MMPlate01,11614MM0004,20190129.CDR04,A04,D05,Titan_0180_11614MM_D05
E01,11614MMPlate01,11614MM0005,20190129.CDR05,A05,E05,Titan_0180_11614MM_E05
F01,11614MMPlate01,11614MM0006,20190129.CDR06,A06,F05,Titan_0180_11614MM_F05
G01,11614MMPlate01,11614MM0007,20190129.CDR07,A07,G05,Titan_0180_11614MM_G05
H01,11614MMPlate01,11614MM0008,20190129.CDR08,A08,H05,Titan_0180_11614MM_H05
E02,11614MMPlate01,11614MM0013,20190129.CDR13,B01,E07,Titan_0180_11614MM_E07
F02,11614MMPlate01,11614MM0014,20190129.CDR14,B02,F07,Titan_0180_11614MM_F07
G02,11614MMPlate01,11614MM0015,20190129.CDR15,B03,G07,Titan_0180_11614MM_G07
H02,11614MMPlate01,11614MM0016,20190129.CDR16,B04,H07,Titan_0180_11614MM_H07
A03,11614MMPlate01,11614MM0017,20190129.CDR17,B05,A09,Titan_0180_11614MM_A09
B03,11614MMPlate01,11614MM0018,20190129.CDR18,B06,B09,Titan_0180_11614MM_B09
C03,11614MMPlate01,11614MM0019,20190129.CDR19,B07,C09,Titan_0180_11614MM_C09
D03,11614MMPlate01,11614MM0020,20190129.CDR20,B08,D09,Titan_0180_11614MM_D09
